content_langs;id;slug;slug_alias;status;updated_at
en;46c2177c-7b92-4070-9343-92905f548c50;ancient-tribal-traditions-and-the-animistic-roots-of-sanatan-dharma;tribal-animistic-roots;published;2026-07-20 15:52:30.585462+00
en;74599872-717e-4380-b9bd-c6125cfddb6e;ancient-tribes-of-bh-ratavar-a-a-cultural-historical-monograph;ancient-tribes-bharatavarsa;published;2026-07-20 15:02:41.684854+00
en,hi,pa;564f90e7-0e22-4e5b-aac8-5404cfc9e438;baba-ala-singh-1691-1765-founder-of-patiala-and-alliances-with-abdali;baba-ala-singh-patiala;published;2026-07-20 14:28:43.748261+00
en;c00947ce-8b47-44e9-8833-5d880f552903;breached-from-within;breached-within-internal-fracture;published;2026-05-31 08:22:11.849736+00
en;69071b66-fe05-4a7b-a088-ca6332044df1;chapter-6-ar-ra-and-tman-preserving-the-body-and-soul-of-the-vedas;vedic-preservation-sarira;published;2026-07-20 14:57:15.25296+00
en;891be02a-051b-44f8-9d98-dc1d9c522de4;chola-naval-raid;chola-naval-raid;draft;2026-02-21 18:27:44.512333+00
en;65fc2f90-cb7e-4174-8aa1-be4c1d912119;dashanami-ascetics-n-th-yogis-j-vikas-and-the-sacred-geography-of-jyotirli-gas;dashanami-jyotirlinga-geography;published;2026-07-20 14:29:29.909172+00
en;51fbb08c-0571-46ef-af75-9082bd78e080;deep-dive-indo-iranian-origins-and-zoroastrianism-2;deep-dive-indoiranian-origins;published;2026-07-20 14:26:34.821198+00
en;16eb3524-398d-4d10-b8b1-8bd04277357c;earth-sea-sangam;earth-sea-sangam;draft;2026-02-21 18:27:44.512333+00
en;439916ec-6bba-4a27-b967-9968a748514d;expanded-r-si-genealogies-bhrgu-a-giras-kasyapa-with-hymn-pointers;expanded-rsi-genealogies-bhrgu;published;2026-07-20 14:26:16.889443+00
bn,en,hi;e4dcc8b7-13cf-45e7-9fd6-97a96f6045dc;from-dev-s-kta-to-dev-m-h-tmya;devi-sukta-mahatmya;published;2026-07-20 15:01:13.982662+00
en;e92767ed-7bb9-4808-ae70-6de7771a0dd6;ganderbal-m-s-spring-and-iva-s-watershed;ganderbal;published;2026-06-02 03:30:16.485192+00
en;e6add39b-4471-485c-a067-64ce0c5527ba;geomythological-research-dossier-for-the-srangam-project;geomythology-dossier;published;2026-07-20 14:30:38.111931+00
en;51a3185e-cba3-47f8-b882-695911b2a70a;geomythology-land-reclamation;geomythology-land-reclamation;draft;2026-02-21 18:27:44.512333+00
en;45d48f8b-6f38-4e63-b948-275845dbc927;gop-dri-k-yapa-and-var-ham-la;gopadri-kasyapa-varahamula;published;2026-07-20 13:50:17.490346+00
en;1f2ed049-7b79-4969-928f-63c9b05c7e53;graphic-transmission-from-rock-art-to-the-graphic-novel-in-a-mobile-ag;graphic-transmission-rock-art;published;2026-07-20 14:25:20.957898+00
en;c67847b1-1e53-4420-831f-7190b9f4bc85;guardians-of-the-vedic-canon-the-anukrama-tradition-across-the-four-vedas;anukramani-vedic-tradition;published;2026-07-20 14:59:16.462911+00
en;0dc8cfe0-554d-456b-81fd-b2575b7f3581;har-har-hari-hari-vishnu-iva-reciprocity-from-veda-to-janaj-ti;har-har-hari-hari;published;2026-07-20 15:45:25.884993+00
en;07fffcc9-9f69-46ef-981e-38b431be049a;hinglaj-to-k-m-khy-the-western-gate-and-the-trans-civilizational-horizon-of-akti-worship;hinglaj-kamakhya;published;2026-07-20 13:50:06.197771+00
en;b6e20161-6f72-48fa-921d-799647096f5b;i-genealogies-in-vedic-tradition-bh-gu-giras-and-k-yapa-lineages;rishi-genealogies-vedic;published;2026-07-20 14:31:29.989085+00
en;035ece8b-5745-47f2-ac97-8890b9450414;indian-ocean-power-networks;indian-ocean-power-networks;draft;2026-02-21 18:27:44.512333+00
en;6f2430c9-9ae9-45b7-9758-9fd95875ad7f;indo-iranian-schism-rishi-genealogies-and-the-dw-rak-horizon-an-evidence-led-monograph;indo-iranian-schism-dwaraka;published;2026-07-20 14:30:08.235718+00
en;f6bcdd28-eda7-4466-8f02-70e7f641382c;jambudvipa-connected-weaving-the-threads-of-civilization-from-the-vaigai-to-the-ganga;jambudvipa-connected;published;2026-07-20 15:40:40.64415+00
en;65df5e44-2850-4f41-9b23-1f4316d27e4c;janaj-tiya-oral-traditions-and-the-animistic-roots-of-san-tana-dharma-evidence-correlations-and-continuities;janajatiya-oral-traditions;published;2026-07-20 14:55:11.526096+00
en;3fbc2d5d-e0dd-466b-9839-806f94962d9c;janajatiya-traditions-oral-continuities-and-archaeological-parallels-1;janajatiya-traditions-oral-continuities;published;2026-07-20 13:51:01.36246+00
en;6e73e8f1-26be-405a-a3f2-819de3e7fbb4;jyotish-methodology;jyotish-calculator;published;2026-02-21 18:27:44.512333+00
en;033df28f-40b0-49fc-9bcd-16bb7a684efd;kutai-yupa-borneo;kutai-yupa-borneo;draft;2026-02-21 18:27:44.512333+00
en;4ee2a336-b7d7-489a-962c-dad8fcb6c9fc;mah-vidy-s-mountains-and-mysteries-textual-traditions-of-the-ten-wisdom-goddesses-vindhyav-sin-dev-and-k-m-khy;mahavidyas-mountains-mysteries-vindhyava;published;2026-07-20 15:04:07.439351+00
en;9c8a5728-ee0b-4ad2-aeda-7f4e3087a40f;monsoon-trade-clock;monsoon-trade-clock;draft;2026-02-21 18:27:44.512333+00
en;50203a51-83d7-43d6-8009-b9d0270db64b;reassessing-ashoka-s-legacy-buddhism-politics-and-ancient-indian-sects;ashoka-legacy-buddhism;published;2026-07-20 15:29:40.695634+00
en;02b560dc-aaad-4e73-bdc5-0d4ea20bbcf0;reassessing-the-antiquity-of-the-rigveda-docx-1;reassessing-antiquity-rigvedadocx;published;2026-07-20 14:04:16.304899+00
en;ba27aadf-ba18-4dd8-ab68-79bead46f393;riders-on-monsoon;riders-on-monsoon;draft;2026-02-21 18:27:44.512333+00
en;6771fbe5-c568-45bb-aa4d-4794c0476254;ringing-rocks-and-rhythmic-cosmology-acoustic-geology-in-deccan-ritual-landscapes;ringing-rocks-rhythmic-cosmology;published;2026-07-20 14:59:51.330534+00
en;7e767c35-8db7-44af-8310-51fea131bf31;sanskrit-translator-methodology;translator-method;published;2026-07-20 15:00:29.65175+00
en;75672e10-e6c8-4302-9e34-8d3cca955588;sarira-and-atman-the-preservation-of-the-vedas-through-the-anukramanis-and-the-bhasya-of-sayanacharya-1;sarira-atman-preservation-vedas;published;2026-07-20 13:49:58.420705+00
en;20d28805-5b40-4add-9629-e409ceb9a071;scripts-that-sailed;scripts-that-sailed;draft;2026-02-21 18:27:44.512333+00
en;03a92e0f-eb4c-4f5b-896f-44bd30db0976;scripts-that-sailed-ii-an-epigraphic-atlas-from-the-vaigai-to-borneo-champa-and-sr-vijaya;scripts-sailed-epigraphic-atlas;published;2026-07-20 15:38:28.940903+00
en;5829a1c0-8140-4d58-9d6d-9d1a5bc32258;shiva-bunjil-altair-connections;shiva-bunjil-altair-connections;published;2026-07-20 13:41:12.970588+00
en;d911eacd-8bf2-4c6b-aa24-bed931eaddf9;somn-tha-prabh-sa-itih-sa-sacred-geography-and-stone-records;somnatha-prabhasa-itihasa;published;2026-07-20 13:40:40.870548+00
en;b5e05842-c976-4f5f-92af-ac92295d7722;srangam-project-research-report-on-jakhbar-mercury-and-sacred-networks;srangam-project-research-report;published;2026-07-20 13:41:36.717827+00
en;70910b53-24b0-4e75-9ae5-ac88cc6764ae;stone-purana;stone-purana;draft;2026-02-21 18:27:44.512333+00
en;fbb8af4a-745c-4665-a5a1-d4a500d39d59;stone-song-and-sea-janaj-ti-memory-from-petroglyphs-to-monoliths-in-the-indo-oceanic-arc;stone-song-sea-janajati;published;2026-07-20 14:27:05.694033+00
en;180842c7-27f5-4a68-b1ac-70a1e175c0e8;stone-sun-and-vitasta;stone-sun-vitasta;published;2026-05-31 08:22:44.615643+00
en;5130b393-6f5e-4f3b-abce-5bcfd19bc773;the-anu-and-the-druhyu-a-correlative-analysis-of-tribal-migrations-in-the-works-of-talageri-raychaudhuri-and-law;anu-druhyu-migrations;published;2026-07-20 14:30:59.291802+00
en;bff8c589-5822-4211-93e4-a4a1fabb234f;the-asura-exiles-a-multi-disciplinary-inquiry-into-the-mitanni-the-vedic-zoroastrian-schism-and-the-memory-of-a-civil-war;asura-exiles-mitanni;published;2026-07-20 14:27:21.953173+00
en;44356116-7a5c-4726-8b5a-cd3996da8084;the-celestial-bridge-an-investigation-into-the-mythological-and-historical-links-between-shaivism-and-the-bunjil-dreaming;celestial-bridge-shaivism-bunjil;published;2026-07-20 15:42:39.876981+00
en;99cd8a3b-8912-44b2-b00f-8a1c35c7a83a;the-gwalior-interface-and-the-warrior-s-curriculum-an-analysis-of-sikh-rajput-and-maharashtrian-martial-connections-in-mughal-india;gwalior-warrior-curriculum;published;2026-07-20 14:31:40.531861+00
en;28c6c56c-7d8d-4b05-ab6f-5f7b59c7b942;the-land-before-the-name;land-before-name;published;2026-07-21 03:30:16.752271+00
en;525dea0c-77e6-4da4-9ff7-09152f35e953;the-lion-at-the-western-gate;lion-western-gate;published;2026-07-19 11:28:17.771277+00
en;3ec19fee-e5de-4023-8064-bc93db68a8f9;the-n-ga-compact;naga-compact;published;2026-05-31 06:14:28.377296+00
