page_or_card,claim,evidence_primary,evidence_archaeology,pin_place,lat,lon,suggested_article,mla_primary
Ports & Emporia,Barygaza served as a principal Gulf of Khambhat emporium.,Periplus chs. 41–49,Harbor geomorphology & regional finds,"Barygaza (Bharuch, Gujarat)",21.705,72.995,Indian Ocean Power Networks,"Casson, Lionel, ed. and trans. The Periplus Maris Erythraei. Princeton UP, 1989."
Ports & Emporia,Muziris described as a major pepper port with western ships.,Periplus chs. 53–56,"Pattanam excavations (wharf, ceramics)","Muziris (near Pattanam, Kerala) [approx.]",10.17,76.2,Pepper and Bullion,"Sidebotham, Steven E. Berenike and the Ancient Maritime Spice Route. U of California P, 2011."
Ports & Emporia,Nelcynda paired with Muziris in pepper trade itineraries.,Periplus ch. 56,Kerala backwater archaeology; regional survey,"Nelcynda (approx. Niranam region, Kerala) [approx.]",9.38,76.3,Pepper and Bullion,"Casson, Lionel. The Periplus Maris Erythraei. Princeton UP, 1989."
Ports & Emporia,Korkai noted for pearls in Pandyan country.,Classical Tamil sources; later accounts,Shell middens; regional surveys,"Korkai (Thoothukudi, Tamil Nadu)",8.6,78.1,Maritime Memories of South India,"Zvelebil, Kamil. The Smile of Murugan. Brill, 1973."
Ports & Emporia,Kaveripattinam (Puhar) portrayed as a bustling harbor.,Pattinappālai; Silappatikāram,Submerged structures; coastal surveys,Puhar / Kaveripattinam (Tamil Nadu),11.212,79.85,Maritime Memories of South India,"Hart, George L., trans. Poems of Ancient Tamil. U of California P, 1975."
Ports & Emporia,Arikamedu shows Indo-Roman trade via amphorae and rouletted ware.,—,Arikamedu excavations,Arikamedu (Puducherry),11.93,79.83,Maritime Memories of South India,"Wheeler, R. E. M. Ancient India 2 (1946)."
Ports & Emporia,Alagankulam yielded Roman ceramics and trade evidence.,—,Alagankulam excavations,Alagankulam (Tamil Nadu),9.25,78.8,Maritime Memories of South India,"Begley, Vimala, et al. The Ancient Port of Arikamedu. Pondicherry, 1996."
Ports & Emporia,Tamralipti functioned as a major eastern embarkation point.,Faxian’s account; inscriptions,Deltaic port archaeology,"Tamralipti (Tamluk, West Bengal)",22.3,87.92,Routes of Faith and Trade,"Legge, James, trans. A Record of Buddhistic Kingdoms. 1886."
Ports & Emporia,Sopara on Konkan linked Arabian Sea routes.,Ashokan edict fragment; later records,Local excavations,"Sopara (Nalasopara, Maharashtra)",19.35,72.82,Konkan Sea Power,"Sircar, D. C. Ashokan Studies, 1979."
Ports & Emporia,Chaul (Revdanda) operated as a medieval emporium.,Portuguese/Indian records,Fort and harbor archaeology,Chaul / Revdanda (Maharashtra),18.55,72.93,Konkan Sea Power,"Eaton, Richard M. The Rise of Islam and the Bengal Frontier. U of California P, 1993."
Ports & Emporia,Calicut became a key spice entrepôt in medieval era.,Travelers’ accounts,Harbor morphodynamics,"Calicut (Kozhikode, Kerala)",11.25,75.78,Pepper and Bullion (later era),"Subrahmanyam, Sanjay. The Portuguese Empire in Asia, 1993."
Ports & Emporia,Cochin/Kochi as harbor of pepper and later European factories.,Travelers; factory records,Stratified port remains,Kochi (Kerala),9.97,76.28,Pepper and Bullion (appendix),"Mathew, K. S. Portuguese Trade with India, 1983."
Ports & Emporia,Mangalore connected Konkan and Malabar circuits.,Travelogues; local records,Harbor remains,Mangalore (Karnataka),12.91,74.85,Konkan Sea Power,"Campbell, Gwyn, ed. Early Exchange between Africa and Asia, 2016."
Ports & Emporia,Goa (Old Goa) as a fortified maritime hub.,Portuguese archives,Fortifications and docks,Goa (Velha Goa),15.5,73.83,Konkan Sea Power,"Disney, A. R. A History of Portugal and the Portuguese Empire, 2009."
Ports & Emporia,Diu served as a strategic Gulf of Khambhat gate.,Portuguese/Indian records,Fort and anchors,Diu (Gujarat),20.71,70.98,Indian Ocean Power Networks,"Pearson, M. N. The Indian Ocean, 2003."
Ports & Emporia,Lothal provides evidence of Harappan dockyard.,Archaeological reports,Masonry basin interpreted as dock,Lothal (Gujarat),22.52,72.25,Ancient Heritage overview,"Rao, S. R. Lothal and the Indus Civilization, 1973."
Ports & Emporia,Bet Dwarka anchors indicate early maritime activity.,Marine archaeology notes,Stone/lead anchors offshore,Bet Dwarka (Gujarat),22.47,69.07,Ancient Heritage overview,"Gaur, A. S., et al. Marine Archaeology of the Indian Ocean, 2005."
