page_or_card,claim,evidence_primary,evidence_archaeology,pin_place,lat,lon,suggested_article,mla_primary
Dharmic Heritage & Maritime Trade (Theme intro),"Monsoon winds powered Indian Ocean trade linking peninsulas, deserts, and deltas.","Periplus of the Erythraean Sea (monsoon-sailing, pepper ports)","Berenike (Egypt) excavations; amphorae, spices; Arikamedu rouletted ware",Muziris (near Pattanam) / Berenike / Arikamedu,10.17 / 23.9 / 11.93,76.20 / 35.5 / 79.83,Maritime Memories of South India; Pepper and Bullion,"Casson, Lionel, ed. and trans. The Periplus Maris Erythraei. Princeton UP, 1989."
Maritime Memories of South India,South Indian emporia integrated Indo-Roman networks.,"Periplus (Barygaza, Muziris); Sangam poems (Pattinappālai) on Puhar",Arikamedu finds; coin hoards of Roman issues in Tamilakam,Barygaza (Bharuch) / Puhar / Arikamedu,21.705 / 11.212 / 11.93,72.995 / 79.850 / 79.83,Emporia of the Ocean; Riders on the Monsoon,"Hart, George L., trans. Poems of Ancient Tamil. U of California P, 1975."
Pepper and Bullion,Pepper exports from Malabar exchanged for gold/silver; Roman demand stimulated Indian production.,Periplus (pepper ports Muziris/Nelcynda),Berenike spice evidence; coins and amphorae on Indian coasts,Muziris / Nelcynda / Berenike,10.17 / 9.38 / 23.9,76.20 / 76.3 / 35.5,Economics of Ancient Spice Trade,"Sidebotham, Steven E. Berenike and the Ancient Maritime Spice Route. U of California P, 2011."
Bharat's Ancient Heritage: Beyond Ashoka's Legacy,Unbroken civilizational threads from Indus inscriptions to classical polities and multilingual edicts.,Ashokan edicts (Prakrit/Greek/Aramaic); early Sanskrit in SE Asia (Kutai yūpa),Inscriptions corpus and site museums,Girnar (Gujarat) / Kandahar (Afghanistan) / Kutai (Borneo),21.52 / 31.61 / -0.27,70.47 / 65.70 / 116.61,Ancient Heritage overview; Indian Ocean Power Networks,"Coedès, George. The Indianized States of Southeast Asia. U of Hawaii P, 1968."
Empires & Exchange → Mauryan State & Ports,State regulation of shipping and customs via Navādhya kṣa (superintendent of shipping).,Arthaśāstra Book II (state departments),"Port sites on eastern littoral e.g., Tamralipti (Tamluk)",Pāṭaliputra / Tamralipti,25.61 / 22.3,85.13 / 87.92,Dharmic Governance at Sea,"Olivelle, Patrick, trans. King, Governance, and Law in Ancient India. Oxford UP, 2013."
Empires & Exchange → Gupta Networks,Guilds and pilgrims used Tamralipti as a major embarkation point.,Faxian’s travelogue (sea return); inscriptions referencing Tamralipti,Deltaic port archaeology and numismatics,Tamralipti (Tamluk),22.3,87.92,Routes of Faith and Trade,"Legge, James, trans. A Record of Buddhistic Kingdoms (Faxian). Clarendon Press, 1886."
Empires & Exchange → Chola 1025 Raid,Maritime strike on Srivijaya to secure Tamil mercantile routes across Malacca.,Chola inscriptions; later chronicles,Port-temple endowments; Nagapattinam finds,Nagapattinam / Kedah–Sumatra,10.77 / 5.62,79.84 / 100.0,The Chola Naval Raid: 1025 CE,"Nilakanta Sastri, K. A. The Cōḷas. U of Madras, 1955."
Empires & Exchange → Maratha Littoral,Coastal fort–fleet system protected customs and challenged European privateers.,Maratha chronicles; European factory records,"Sindhudurg/Raigad forts, naval remains",Sindhudurg / Raigad,16.02 / 18.25,73.47 / 73.44,Konkan Sea Power,"Apte, B. K. History of the Maratha Navy and Merchant Shipping. State Board, 1959."
Reading Room → Sailors’ Waypoints,Brahmi graffiti by Indian sailors survive on Socotra among multilingual inscriptions.,"Socotra inscription corpora (Brahmi, South Asian names)",Cave/rock inscriptions documentation,Socotra Island,12.463,53.823,Sailors’ Graffiti at the World’s Edge,"Ray, Himanshu Prabha. The Archaeology of Seafaring in Ancient South Asia. Cambridge UP, 2003."
Maps & Data → Guild Networks,South Indian merchant guilds operated across the Bay of Bengal (Ayyavole/Manigramam).,Takuapa inscription (Thailand) in Sanskrit/Tamil contexts,Trade-related donative inscriptions in SEA,"Takuapa, Thailand",8.85,98.33,Guilds without Borders,"Hall, Kenneth R. Maritime Trade and State Development in Early Southeast Asia. U of Hawai‘i P, 1985."
Maps & Data → Early Sanskrit in SEA,Kutai yūpa inscriptions in Borneo attest early Sanskrit usage and Indic ritual.,Kutai yūpa of King Mulavarman,Yūpa pillars; museum corpora,"Muara Kaman, East Kalimantan",-0.27,116.61,The Sanskrit Wave,"Wolters, O. W. History, Culture, and Region in Southeast Asian Perspectives. SEAP, 1999."
Field Notes → Coin Hoards,Roman coin hoards in South India signal vigorous exchange and local monetization.,Roman coinage references; Periplus mentions of bullion,Hoards documented across Tamil Nadu/Kerala,Multiple Tamilakam sites,—,—,Pepper and Bullion (appendix),"Suresh, S. Symbols of Trade: Roman and Pseudo-Roman Objects in South India. Manohar, 2004."
