id,work,snippet_en,original_lang,theme,place,lat,lon,period,source_type,citation_hint,tags
RV-2.35.13,Rig Veda (2.35),"Apām Napāt—child of the waters—moves sweetly across the sky; a cosmology that links rain, river, and sea.",Sanskrit,Cosmic Ocean & Monsoon,Pan-Indian (sky–ocean cycle),,,2nd millennium BCE (Vedic),Vedic hymn (paraphrase),RV 2.35; Varuna & Apām Napāt hymns,"Varuna, Monsoon, Cosmology"
PER-56,Periplus of the Erythraean Sea,Barygaza (Bharuch) described as a key emporium for Indian exports and foreign arrivals.,Greek,Ports & Emporia,"Bharuch, Gujarat, India",21.705,72.995,1st century CE,Greco-Roman itinerary (summary),Periplus chs. 41–49 (Barygaza),"Bharukaccha, Trade, Roman"
PER-57,Periplus of the Erythraean Sea,Muziris noted as a pepper port with direct ships from the west.,Greek,Pepper & Spices,"Muziris (near Pattanam), Kerala, India",10.17,76.2,1st century CE,Greco-Roman itinerary (summary),"Periplus chs. 53–56 (Muziris, Nelcynda)","Muziris, Pepper, Yavana ships"
SANG-Pattinappalai,Pattinappālai (Sangam),Puhar’s harbor throngs with incoming foreign ships and bustling warehouses.,Tamil,Urban Maritime Culture,"Kaveripattinam (Puhar), Tamil Nadu, India",11.212,79.85,Early centuries CE (Sangam),Classical Tamil poem (paraphrase),Pattinappālai—descriptions of Puhar’s port,"Puhar, Yavana, Warehouses"
SANG-Silappatikaram,Silappatikaram,"Kaveripattinam portrayed with sea-borne merchants, ships, and customs officials.",Tamil,Maritime Administration,"Kaveripattinam (Puhar), Tamil Nadu, India",11.212,79.85,Early centuries CE,Tamil epic (paraphrase),Silappatikaram—Puhar cantos,"Customs, Merchants, Port Town"
ARTH-Nava,Arthaśāstra,"The office of the Navādhya kṣa (superintendent of shipping) regulates ferries, ports, and maritime dues.",Sanskrit,Maritime Governance,Mauryan/early classical polity—pan-Indian administration,,,c. 4th–2nd century BCE (text layers),Statecraft treatise (summary),Arthaśāstra Book II (state departments),"Port duties, Shipping, Statecraft"
ARIK-1,Arikamedu (archaeology),Rouletted ware and Roman amphorae attest to intensive overseas trade on India’s southeast coast.,Material culture,Archaeology of Trade,"Arikamedu, Puducherry, India",11.93,79.83,c. 1st century BCE–2nd century CE,Archaeological site (summary),Arikamedu excavations; finds of amphorae/rouletted ware,"Rouletted ware, Amphorae"
MANT-1,Mantai (archaeology),Sri Lanka’s northern emporium connected South Asia with the Red Sea and Southeast Asia.,Material culture,Transoceanic Hubs,"Mantai, Sri Lanka",8.036,79.833,Early centuries CE,Archaeological site (summary),Mantai excavations and trade goods,"Sri Lanka, Emporium"
KUTAI-YUPA,Kutai Yūpa Inscriptions,Sanskrit yūpa (sacrificial post) inscriptions of King Mulavarman signal early Indic presence in Borneo.,Sanskrit (Pallava-Grantha),Epigraphy & Spread of Sanskrit,"Muara Kaman, East Kalimantan, Indonesia",-0.27,116.61,c. 4th–5th century CE,Stone inscription (summary),Kutai yūpa inscriptions of Mulavarman,"Yūpa, Sanskrit, Southeast Asia"
TAKUAPA,Takuapa Inscription,A Sanskrit inscription in peninsular Thailand linked with merchant guilds from South India.,Sanskrit,Merchant Networks,"Takuapa, Thailand",8.85,98.33,c. 9th century CE,Stone inscription (summary),Takuapa inscription; Ayyavole/Manigramam connections,"Guilds, Tamil merchants, Southeast Asia"
SOCOTRA-BRAHMI,Socotra Cave Inscriptions,Brahmi graffiti by Indian sailors among multilingual inscriptions on the island.,Brahmi (graffiti),Sailors’ Waypoints,"Socotra, Yemen",12.463,53.823,c. 3rd–5th century CE,Rock/cave inscriptions (summary),Socotra inscriptions corpus,"Graffiti, Way-stations, Multilingual"
BOITA-BALI,Boita Bandana / Bali Jatra (song),Festival songs commemorate Odisha’s sailors who once launched ‘boita’ vessels towards Southeast Asia.,Odia (folk),Maritime Memory,"Cuttack, Odisha, India",20.462,85.882,Living tradition; historic memory of Kalinga trade,Festival song (paraphrase),Bali Jatra festival; maritime folklore,"Kalinga, Festival, Southeast Asia"
